,Activation,Channels,Loss,Mae,Mse
153,relu,"[0, 2, 3, 4, 5, 10, 11, 14, 15, 16, 19, 22]",16959.474609375,105.677490234375,16959.474609375
154,relu,"[0, 1, 2, 7, 9, 10, 11, 12, 13, 15, 18, 21]",22354.447265625,122.34566497802734,22354.447265625
155,relu,"[0, 1, 7, 9, 11, 12, 13, 15, 16, 18, 20, 23]",19797.66015625,113.30966186523438,19797.66015625
156,relu,"[1, 3, 7, 9, 10, 11, 12, 16, 17, 19, 20, 21]",23267.421875,126.13034057617188,23267.421875
157,relu,"[1, 2, 4, 6, 7, 10, 11, 13, 18, 19, 21, 23]",23851.6171875,128.7863311767578,23851.6171875
158,relu,"[0, 2, 3, 4, 5, 7, 12, 13, 14, 15, 22, 23]",21599.240234375,120.48433685302734,21599.240234375
159,relu,"[1, 3, 6, 10, 12, 13, 14, 16, 18, 21, 22, 23]",19555.763671875,116.2249984741211,19555.763671875
160,relu,"[0, 1, 3, 4, 5, 7, 9, 10, 12, 15, 20, 21]",20054.5078125,113.22766876220703,20054.5078125
161,relu,"[0, 2, 4, 5, 6, 8, 11, 13, 14, 15, 18, 22]",22278.642578125,121.5009994506836,22278.642578125
162,relu,"[1, 2, 5, 7, 9, 11, 12, 14, 18, 21, 22, 23]",21819.5703125,118.1103286743164,21819.5703125
163,relu,"[0, 2, 8, 11, 12, 13, 15, 16, 18, 19, 21, 22]",22134.19921875,120.2796630859375,22134.19921875
164,relu,"[0, 3, 5, 6, 9, 12, 14, 15, 18, 19, 20, 23]",21686.72265625,122.35900115966797,21686.72265625
165,relu,"[0, 2, 3, 4, 5, 6, 8, 12, 16, 17, 21, 22]",24672.8828125,130.38632202148438,24672.8828125
166,relu,"[0, 1, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16]",19416.8671875,112.84063720703125,19416.8671875
167,relu,"[0, 1, 3, 5, 9, 14, 15, 16, 18, 19, 21, 22]",21082.359375,117.67367553710938,21082.359375
