,Activation,Channels,Loss,Mae,Mse
29,relu,"[7, 9, 11]",109.21544647216797,2.9688782691955566,109.21544647216797
30,relu,"[8, 15, 17]",118.21076965332031,2.6193552017211914,118.21078491210938
31,relu,"[0, 7, 18]",42.4492073059082,2.606607437133789,42.4492073059082
32,relu,"[1, 14, 21]",116.88412475585938,2.1834070682525635,116.88412475585938
33,relu,"[17, 20, 22]",93.58394622802734,2.5834500789642334,93.58394622802734
34,relu,"[5, 13, 14]",103.11661529541016,2.612234592437744,103.11661529541016
35,relu,"[4, 14, 22]",122.6284408569336,4.0766072273254395,122.6284408569336
36,relu,"[0, 15, 23]",136.66799926757812,3.4704504013061523,136.66799926757812
37,relu,"[5, 15, 23]",228.3988037109375,4.450622081756592,228.3988037109375
38,relu,"[3, 7, 10]",105.32989501953125,2.594449043273926,105.32989501953125
39,relu,"[0, 2, 12]",88.81189727783203,2.9930968284606934,88.81189727783203
40,relu,"[2, 10, 19]",152.4125518798828,4.201196193695068,152.4125518798828
41,relu,"[3, 9, 20]",124.37284088134766,2.771615743637085,124.3728256225586
42,relu,"[6, 15, 21]",172.95127868652344,4.66213846206665,172.95127868652344
43,relu,"[3, 12, 20]",45.67319107055664,2.7393689155578613,45.67319107055664
44,relu,"[10, 12, 13]",94.70082092285156,2.181891679763794,94.70082092285156
45,relu,"[0, 7, 17]",43232.96875,180.72682189941406,43232.96875
46,relu,"[10, 11, 18]",99.6050796508789,1.7920253276824951,99.6050796508789
47,relu,"[13, 14, 16]",96.7686996459961,2.1171021461486816,96.7686996459961
48,relu,"[5, 12, 22]",105.35224151611328,2.412245035171509,105.35224151611328
49,relu,"[15, 19, 23]",128.6314239501953,3.1380083560943604,128.63140869140625
50,relu,"[0, 2, 4, 6, 14, 23]",220.31552124023438,4.052572250366211,220.31552124023438
51,relu,"[2, 4, 5, 6, 10, 16]",250.5405731201172,5.149097919464111,250.5405731201172
52,relu,"[1, 5, 6, 15, 16, 22]",104.519775390625,2.349557399749756,104.519775390625
53,relu,"[2, 5, 9, 13, 17, 22]",95.4244384765625,1.774156093597412,95.42443084716797
54,relu,"[2, 10, 12, 14, 20, 23]",103.02246856689453,2.0933427810668945,103.02246856689453
55,relu,"[5, 6, 7, 13, 19, 23]",102.01837158203125,2.028522253036499,102.01837158203125
56,relu,"[5, 11, 13, 15, 21, 22]",161.45529174804688,2.8282365798950195,161.45529174804688
57,relu,"[3, 8, 14, 15, 16, 17]",113.56037902832031,2.758049249649048,113.56037902832031
58,relu,"[10, 14, 16, 17, 20, 21]",112.1084213256836,3.895050048828125,112.1084213256836
59,relu,"[0, 1, 2, 13, 14, 15]",107.73124694824219,3.4191324710845947,107.73124694824219
60,relu,"[0, 2, 5, 7, 9, 18]",90.39212799072266,2.104909658432007,90.39212799072266
61,relu,"[2, 3, 9, 10, 11, 15]",123.22750091552734,3.9666202068328857,123.22750091552734
62,relu,"[4, 8, 9, 16, 19, 22]",112.80919647216797,2.278416633605957,112.80919647216797
63,relu,"[5, 10, 14, 17, 18, 19]",103.06208038330078,2.322387456893921,103.06208038330078
64,relu,"[0, 2, 6, 12, 18, 20]",61.9614143371582,2.5951473712921143,61.9614143371582
65,relu,"[0, 5, 9, 12, 19, 23]",96.03303527832031,1.8477258682250977,96.03303527832031
66,relu,"[4, 5, 7, 8, 9, 13]",98.65219116210938,2.842078685760498,98.65219116210938
67,relu,"[2, 4, 7, 8, 14, 23]",112.4851303100586,2.101850986480713,112.4851303100586
68,relu,"[3, 8, 13, 15, 18, 23]",108.986328125,1.796755313873291,108.986328125
69,relu,"[0, 4, 7, 11, 17, 22]",100.19446563720703,2.6599111557006836,100.19446563720703
70,relu,"[4, 5, 8, 12, 16, 19]",138.12173461914062,1.949208378791809,138.12173461914062
71,relu,"[0, 3, 4, 7, 10, 21]",107.30269622802734,3.829888105392456,107.30269622802734
72,relu,"[0, 4, 6, 8, 12, 21]",76.3377456665039,2.0899994373321533,76.33775329589844
73,relu,"[1, 3, 12, 18, 20, 23]",59.40350341796875,1.8136197328567505,59.40350341796875
74,relu,"[0, 4, 14, 19, 20, 22]",97.3536376953125,2.485034942626953,97.3536376953125
75,relu,"[1, 2, 9, 14, 18, 23]",103.44583892822266,2.5896878242492676,103.44583892822266
76,relu,"[4, 9, 18, 19, 22, 23]",73.2820053100586,2.033294677734375,73.2820053100586
77,relu,"[0, 4, 11, 15, 16, 21]",141.47247314453125,3.837350606918335,141.47247314453125
78,relu,"[0, 1, 11, 13, 19, 20]",91.94390106201172,2.3590428829193115,91.94390106201172
79,relu,"[9, 10, 13, 15, 17, 22]",98.0927963256836,2.204561948776245,98.0927963256836
80,relu,"[3, 4, 5, 13, 14, 22]",117.37599182128906,3.4808101654052734,117.37601470947266
81,relu,"[4, 6, 7, 12, 17, 22]",93.76264953613281,3.315048933029175,93.76264953613281
82,relu,"[2, 4, 9, 11, 17, 19]",101.75855255126953,2.6811599731445312,101.75855255126953
83,relu,"[3, 11, 13, 17, 19, 21]",122.9249496459961,3.282715082168579,122.9249496459961
84,relu,"[2, 3, 7, 9, 11, 13]",91.99739837646484,2.3424642086029053,91.99739837646484
85,relu,"[0, 2, 13, 15, 16, 19]",99.67097473144531,2.243257999420166,99.67097473144531
86,relu,"[0, 3, 9, 10, 15, 20]",123.49034881591797,2.946681499481201,123.49034881591797
87,relu,"[0, 1, 3, 4, 9, 19]",97.71065521240234,3.037808418273926,97.71065521240234
88,relu,"[0, 6, 17, 18, 21, 22]",63.217044830322266,2.899242639541626,63.217044830322266
89,relu,"[2, 3, 8, 16, 18, 23]",102.4986343383789,3.1400959491729736,102.4986343383789
90,relu,"[1, 3, 12, 15, 20, 21]",105.79120635986328,2.110048532485962,105.79119873046875
91,relu,"[12, 13, 15, 17, 19, 22]",54.613807678222656,1.9367647171020508,54.613807678222656
92,relu,"[1, 6, 15, 16, 19, 20]",106.41590881347656,2.1905925273895264,106.41590881347656
93,relu,"[1, 2, 4, 8, 9, 14]",98.5033950805664,1.5561494827270508,98.5033950805664
94,relu,"[2, 9, 10, 12, 17, 18]",54.60101318359375,3.2641825675964355,54.601016998291016
95,relu,"[0, 7, 10, 12, 17, 23]",98.8633041381836,3.623584747314453,98.8633041381836
96,relu,"[2, 7, 9, 13, 19, 20]",42.792144775390625,1.9606029987335205,42.792144775390625
