,Activation,Channels,Loss,Mae,Mse
115,relu,[ 5 13 15 18 19 21  7  4 17],102.28117370605469,102.28117370605469,2.8351616859436035
116,relu,[ 2 19  4 15  8 23 21 12 20],96.2984619140625,96.2984619140625,2.586164951324463
117,relu,[ 9  6 10 12 21 17 20  4 13],112.7386703491211,112.7386703491211,2.3849587440490723
118,relu,[16  5 11 10 22  9  6 12  3],172.06732177734375,172.0673370361328,3.8395137786865234
119,relu,[ 0 14 20  1  2  3 19 23  6],115.22169494628906,115.22169494628906,3.6459403038024902
120,relu,[21 12  1 11 20 15  9  0 23],115.4568099975586,115.4568099975586,3.65106201171875
121,relu,[15  1  8  4 18  2  9 13 10],98.41541290283203,98.41541290283203,2.6747026443481445
122,relu,[ 7 23 20  0  2 19 16  9  5],111.81354522705078,111.81354522705078,3.187528371810913
123,relu,[22 10 12 13  6  4  3 11 16],233.1187744140625,233.1187744140625,4.213956832885742
124,relu,[13  6  4  0 15 20  8 21  3],101.7999267578125,101.79991912841797,2.3907299041748047
125,relu,[ 8 13 21 15  4  2 10 23  1],122.81002807617188,122.81002807617188,4.275031089782715
126,relu,[20  6  5 10  0 22  7 21 15],154.494873046875,154.494873046875,3.1305387020111084
127,relu,[21  3  9  7 17 12 15 22  2],110.83100128173828,110.83100128173828,2.95636248588562
128,relu,[14  3 11  9 21 17 18 13  2],96.54344177246094,96.54344940185547,2.1138694286346436
129,relu,[10  0 19  3 21  5 22 18 15],102.26000213623047,102.26000213623047,2.9450154304504395
130,relu,[ 7 10 16  5 12 20 15  0 17],155.11203002929688,155.11203002929688,3.1526684761047363
131,relu,[17  8  3  0 12 23 11  7 10],102.75623321533203,102.75623321533203,3.13618540763855
132,relu,[22 12 21 19  7 17  5 18  1],103.39640045166016,103.39640045166016,3.3383028507232666
133,relu,[ 2 12 18 10 11  7  6 17  8],108.2325668334961,108.2325668334961,2.7201967239379883
134,relu,[ 8 22  3 12 18  7  6  4 17],53.31216812133789,53.31216812133789,1.963434100151062
135,relu,[18  3  4  9 11 22 19  0 16],114.1552505493164,114.1552505493164,4.235814571380615
136,relu,[ 7  0  8 10 18 15  3  6  2],104.71173858642578,104.71173858642578,2.876755475997925
137,relu,[ 0 18  2 23  7 19 15  1 10],106.23700714111328,106.23699951171875,3.2744104862213135
138,relu,[ 8 12  4 22  9 18 19  2  0],66.31066131591797,66.31066131591797,2.3278143405914307
139,relu,[ 7  4  6 19  5 17 16  1  3],144.41773986816406,144.41773986816406,2.700774669647217
